CIDADE,LATITUDE,LONGITUDE
Abadia dos Dourados,-18.4831,-47.3916
Abre Campo,-20.2996,-42.4743
Acaiaca,-20.359,-43.1439
Aguanil,-20.9439,-45.3915
Aimorés,-19.5007,-41.0746
Aiuruoca,-21.9736,-44.6042
Alagoa,-22.171,-44.6413
Albertina,-22.2018,-46.6139
Alfredo Vasconcelos,-21.1535,-43.7718
Alpercata,-18.974,-41.97
Alpinópolis,-20.8631,-46.3878
Alterosa,-21.2488,-46.1387
Alto Caparaó,-20.431,-41.8738
Alto Jequitibá,-20.4208,-41.967
Alto Rio Doce,-21.0281,-43.4067
Alvarenga,-19.4174,-41.7317
Alvinópolis,-20.1098,-43.0535
Alvorada de Minas,-18.7334,-43.3638
Além Paraíba,-21.8797,-42.7176
Amparo do Serra,-20.5051,-42.8009
Andradas,-22.0695,-46.5724
Andrelândia,-21.7411,-44.3117
Angelândia,-17.7279,-42.2641
Antônio Carlos,-21.321,-43.7451
Antônio Dias,-19.6491,-42.8732
Antônio Prado de Minas,-21.0192,-42.1109
Aracitaba,-21.3446,-43.3736
Arantina,-21.9102,-44.2555
Araponga,-20.6686,-42.5178
Araporã,-18.4357,-49.1847
Arapuá,-19.0268,-46.1484
Araçaí,-19.1955,-44.2493
Araújos,-19.9405,-45.1671
Arceburgo,-21.359,-46.9401
Arcos,-20.2863,-45.5373
Areado,-21.3572,-46.1421
Argirita,-21.6083,-42.8292
Aricanduva,-17.8666,-42.5533
Arinos,-15.9187,-46.1043
Astolfo Dutra,-21.3184,-42.8572
Ataléia,-18.0438,-41.1149
Augusto de Lima,-18.0997,-44.2655
Açucena,-19.0671,-42.5419
Baependi,-21.957,-44.8874
Baldim,-19.2832,-43.9613
Bambuí,-20.0166,-45.9754
Bandeira,-15.8783,-40.5622
Bandeira do Sul,-21.7308,-46.3833
Barra Longa,-20.2869,-43.0402
Barroso,-21.1907,-43.972
Barão de Cocais,-19.9389,-43.4755
Barão de Monte Alto,-21.2444,-42.2372
Bela Vista de Minas,-19.8302,-43.0922
Belmiro Braga,-21.944,-43.4084
Belo Oriente,-19.2199,-42.4828
Belo Vale,-20.4077,-44.0275
Berilo,-16.9567,-42.4606
Berizal,-15.61,-41.7432
Bertópolis,-17.059,-40.58
Betim,-19.9668,-44.2008
Bias Fortes,-21.602,-43.7574
Bicas,-21.7232,-43.056
Biquinhas,-18.7754,-45.4974
Boa Esperança,-21.0927,-45.5612
Bocaina de Minas,-22.1697,-44.3972
Bocaiúva,-17.1135,-43.8104
Bom Jardim de Minas,-21.9479,-44.1885
Bom Jesus da Penha,-21.0148,-46.5174
Bom Jesus do Amparo,-19.7054,-43.4782
Bom Jesus do Galho,-19.836,-42.3165
Bom Repouso,-22.4675,-46.144
Bom Sucesso,-21.0329,-44.7537
Bonfim,-20.3302,-44.2366
Bonfinópolis de Minas,-16.568,-45.9839
Bonito de Minas,-15.3231,-44.7543
Borda da Mata,-22.2707,-46.1653
Botelhos,-21.6412,-46.391
Botumirim,-16.8657,-43.0086
Brasilândia de Minas,-16.9999,-46.0081
Brasília de Minas,-16.2104,-44.4299
Brazópolis,-22.4743,-45.6166
Braúnas,-19.0562,-42.7099
